Task ID,Task Name,Start Date,End Date,Duration (Days),Dependencies,Assigned To,Module,Priority,Status,Progress %,Week
T028,Tạo EntityExam.cs,30/11/2025,30/11/2025,1,T011,Kiên,Database,P0,Not Started,0%,W1
T029,Tạo EntityEnrollment.cs,30/11/2025,30/11/2025,1,T011,Kiên,Database,P0,Not Started,0%,W1
T030,Tạo EntityExamSubmission.cs,30/11/2025,30/11/2025,1,T011,Kiên,Database,P0,Not Started,0%,W1
T031,Tạo EntityUserRole.cs,01/12/2025,01/12/2025,1,T011,Kiên,Database,P0,Not Started,0%,W1
T032,Update ModelBuilderExt.cs,01/12/2025,01/12/2025,1,"T022,T023,T024,T025,T026,T027,T028,T029,T030,T031",Kiên,Database,P0,Not Started,0%,W1
T033,Configure unique constraints,01/12/2025,01/12/2025,1,T032,Kiên,Database,P0,Not Started,0%,W1
T034,Review tất cả entities,29/11/2025,01/12/2025,3,"T022,T023,T024,T025,T026,T027,T028,T029,T030,T031",Phong,Database,P0,Not Started,0%,W1
T035,Validate relationships,01/12/2025,01/12/2025,1,T034,Phong,Database,P0,Not Started,0%,W1
T036,Document database schema,01/12/2025,01/12/2025,1,T035,Phong,Database,P0,Not Started,0%,W1
T037,Design indexes strategy,01/12/2025,01/12/2025,1,T035,Phong,Database,P0,Not Started,0%,W1
T038,Tạo DTOs cho API responses,29/11/2025,01/12/2025,3,"T022,T023,T024,T025,T026,T027,T028,T029,T030,T031",Cường,Database,P0,Not Started,0%,W1
T039,Design wireframes Coin management,29/11/2025,01/12/2025,3,T015,Cường,Database,P0,Not Started,0%,W1
T040,Design wireframes Partner Portal,29/11/2025,01/12/2025,3,T015,Cường,Database,P0,Not Started,0%,W1
T041,Tạo EF Core migrations,02/12/2025,02/12/2025,1,T032,Kiên,Migrations,P0,Not Started,0%,W1
T042,Test migrations trên PostgreSQL,02/12/2025,02/12/2025,1,T041,Kiên,Migrations,P0,Not Started,0%,W1
T043,Tạo SeedData.cs,03/12/2025,03/12/2025,1,T042,Kiên,Migrations,P0,Not Started,0%,W1
T044,Seed default coin exchange rate,03/12/2025,03/12/2025,1,T043,Kiên,Migrations,P0,Not Started,0%,W1
T045,Seed bronze tier commission,03/12/2025,03/12/2025,1,T043,Kiên,Migrations,P0,Not Started,0%,W1
T046,Seed sample courses,03/12/2025,03/12/2025,1,T043,Kiên,Migrations,P0,Not Started,0%,W1
T047,Seed sample exams,03/12/2025,03/12/2025,1,T043,Kiên,Migrations,P0,Not Started,0%,W1
T048,Document migration process,03/12/2025,03/12/2025,1,"T041,T042,T043,T044,T045,T046,T047",Kiên,Migrations,P0,Not Started,0%,W1
T049,Tạo EntityUserRole.cs,04/12/2025,04/12/2025,1,T048,Kiên,Authentication,P0,Not Started,0%,W2
T050,Tạo AuthService.cs Register,04/12/2025,05/12/2025,2,T049,Kiên,Authentication,P0,Not Started,0%,W2
T051,Tạo AuthService.cs Login,05/12/2025,05/12/2025,1,T050,Kiên,Authentication,P0,Not Started,0%,W2
T052,Implement HashPassword method,05/12/2025,05/12/2025,1,T050,Kiên,Authentication,P0,Not Started,0%,W2
T053,Implement VerifyPassword method,05/12/2025,05/12/2025,1,T051,Kiên,Authentication,P0,Not Started,0%,W2
T054,Implement GenerateJwtToken,05/12/2025,06/12/2025,2,T051,Kiên,Authentication,P0,Not Started,0%,W2
T055,Tạo RegisterDto.cs,04/12/2025,04/12/2025,1,T049,Kiên,Authentication,P0,Not Started,0%,W2
T056,Tạo LoginDto.cs,04/12/2025,04/12/2025,1,T049,Kiên,Authentication,P0,Not Started,0%,W2
T057,Tạo AuthResponseDto.cs,04/12/2025,04/12/2025,1,T049,Kiên,Authentication,P0,Not Started,0%,W2
T058,Auto-create CoinBalance for Student,06/12/2025,06/12/2025,1,T050,Kiên,Authentication,P0,Not Started,0%,W2
T059,Update last login timestamp,06/12/2025,06/12/2025,1,T051,Kiên,Authentication,P0,Not Started,0%,W2
T060,Tạo Login UI component,04/12/2025,05/12/2025,2,T016,Cường,Authentication,P0,Not Started,0%,W2
T061,Tạo Register UI component,05/12/2025,05/12/2025,1,T060,Cường,Authentication,P0,Not Started,0%,W2
T062,Implement form validation,05/12/2025,06/12/2025,2,"T060,T061",Cường,Authentication,P0,Not Started,0%,W2
T063,Integrate với AuthService API,06/12/2025,06/12/2025,1,T051,Cường,Authentication,P0,Not Started,0%,W2
T064,Setup JWT token storage,06/12/2025,06/12/2025,1,T054,Cường,Authentication,P0,Not Started,0%,W2
T065,Implement authentication guard,06/12/2025,06/12/2025,1,T064,Cường,Authentication,P0,Not Started,0%,W2
T066,Tạo PartnerService.cs,07/12/2025,07/12/2025,1,T048,Kiên,Partner,P0,Not Started,0%,W2
T067,Implement RegisterPartner method,07/12/2025,07/12/2025,1,T066,Kiên,Partner,P0,Not Started,0%,W2
T068,Implement ApprovePartner method,07/12/2025,08/12/2025,2,T066,Kiên,Partner,P0,Not Started,0%,W2
T069,Implement RejectPartner method,08/12/2025,08/12/2025,1,T066,Kiên,Partner,P0,Not Started,0%,W2
T070,Implement GenerateDefaultCode,08/12/2025,08/12/2025,1,T068,Kiên,Partner,P0,Not Started,0%,W2
T071,Tạo PartnerRegistrationDto.cs,07/12/2025,07/12/2025,1,T066,Kiên,Partner,P0,Not Started,0%,W2
T072,Email notification admin,08/12/2025,08/12/2025,1,T067,Kiên,Partner,P1,Not Started,0%,W2
T073,Email confirmation partner,08/12/2025,08/12/2025,1,T067,Kiên,Partner,P1,Not Started,0%,W2
T074,Email approval notification,08/12/2025,08/12/2025,1,T068,Kiên,Partner,P1,Not Started,0%,W2
T075,Tạo Partner Registration form,07/12/2025,07/12/2025,1,T040,Cường,Partner,P0,Not Started,0%,W2
T076,Implement file upload logo,07/12/2025,08/12/2025,2,T075,Cường,Partner,P0,Not Started,0%,W2
T077,Implement file upload license,07/12/2025,08/12/2025,2,T075,Cường,Partner,P0,Not Started,0%,W2
T078,Tạo Admin approval interface,08/12/2025,08/12/2025,1,T068,Cường,Partner,P0,Not Started,0%,W2
T079,Partner dashboard layout,08/12/2025,08/12/2025,1,T040,Cường,Partner,P0,Not Started,0%,W2
T080,Partner profile page,08/12/2025,08/12/2025,1,T079,Cường,Partner,P0,Not Started,0%,W2
T081,Test auth flows Student,09/12/2025,09/12/2025,1,T065,All,Testing,P0,Not Started,0%,W2
T082,Test auth flows Teacher,09/12/2025,09/12/2025,1,T065,All,Testing,P0,Not Started,0%,W2
T083,Test auth flows Admin,09/12/2025,09/12/2025,1,T065,All,Testing,P0,Not Started,0%,W2
T084,Test auth flows Partner,09/12/2025,09/12/2025,1,T065,All,Testing,P0,Not Started,0%,W2
T085,Test partner registration flow,09/12/2025,10/12/2025,2,T067,All,Testing,P0,Not Started,0%,W2
T086,Test admin approval workflow,10/12/2025,10/12/2025,1,T068,All,Testing,P0,Not Started,0%,W2
T087,Fix bugs discovered Week 1-2,10/12/2025,10/12/2025,1,"T081,T082,T083,T084,T085,T086",All,Testing,P0,Not Started,0%,W2
T088,Code review session Week 1-2,10/12/2025,10/12/2025,1,T087,All,Testing,P0,Not Started,0%,W2
T089,Update documentation Week 1-2,10/12/2025,10/12/2025,1,T088,All,Testing,P0,Not Started,0%,W2
T090,Sprint 1 retrospective,10/12/2025,10/12/2025,1,T089,All,Testing,P0,Not Started,0%,W2
T091,Tạo CoinService.cs,11/12/2025,11/12/2025,1,T048,Kiên,Coin,P0,Not Started,0%,W3
T092,Implement PurchaseCoins method,11/12/2025,12/12/2025,2,T091,Kiên,Coin,P0,Not Started,0%,W3
T093,Implement GetBalance method,12/12/2025,12/12/2025,1,T091,Kiên,Coin,P0,Not Started,0%,W3
T094,Implement UseCoins method,12/12/2025,12/12/2025,1,T091,Kiên,Coin,P0,Not Started,0%,W3
T095,Implement ValidateReferralCode,12/12/2025,13/12/2025,2,T091,Kiên,Coin,P0,Not Started,0%,W3
T096,Implement CalculateCommission,13/12/2025,13/12/2025,1,T091,Kiên,Coin,P0,Not Started,0%,W3
T097,Tạo CoinPurchaseDto.cs,11/12/2025,11/12/2025,1,T091,Kiên,Coin,P0,Not Started,0%,W3
T098,Tạo CoinPurchaseResponseDto.cs,11/12/2025,11/12/2025,1,T091,Kiên,Coin,P0,Not Started,0%,W3
T099,Tạo CoinBalanceDto.cs,11/12/2025,11/12/2025,1,T091,Kiên,Coin,P0,Not Started,0%,W3
T100,Tạo UseCoinDto.cs,11/12/2025,11/12/2025,1,T091,Kiên,Coin,P0,Not Started,0%,W3
T101,Auto-update CoinBalance purchase,13/12/2025,13/12/2025,1,T092,Kiên,Coin,P0,Not Started,0%,W3
T102,Auto-update CoinBalance use,13/12/2025,13/12/2025,1,T094,Kiên,Coin,P0,Not Started,0%,W3
T103,Transaction logging đầy đủ,13/12/2025,13/12/2025,1,"T092,T094",Kiên,Coin,P0,Not Started,0%,W3
T104,Tạo Coin purchase UI,11/12/2025,12/12/2025,2,T039,Cường,Coin,P0,Not Started,0%,W3
T105,Coin balance display widget,11/12/2025,12/12/2025,2,T039,Cường,Coin,P0,Not Started,0%,W3
T106,Transaction history table,12/12/2025,13/12/2025,2,T104,Cường,Coin,P0,Not Started,0%,W3
T107,Referral code input field,12/12/2025,12/12/2025,1,T104,Cường,Coin,P0,Not Started,0%,W3
T108,Payment method selection,12/12/2025,13/12/2025,2,T104,Cường,Coin,P0,Not Started,0%,W3
T109,Purchase confirmation dialog,13/12/2025,13/12/2025,1,T104,Cường,Coin,P0,Not Started,0%,W3
T110,Success/Error notifications,13/12/2025,13/12/2025,1,T104,Cường,Coin,P0,Not Started,0%,W3
T111,Tạo ReferralCodeService.cs,14/12/2025,14/12/2025,1,T048,Kiên,Referral,P0,Not Started,0%,W3
T112,Implement CreateCode method,14/12/2025,14/12/2025,1,T111,Kiên,Referral,P0,Not Started,0%,W3
T113,Implement GetPartnerCodes method,14/12/2025,14/12/2025,1,T111,Kiên,Referral,P0,Not Started,0%,W3
T114,Implement UpdateCode method,14/12/2025,15/12/2025,2,T111,Kiên,Referral,P0,Not Started,0%,W3
T115,Implement ToggleCodeStatus,15/12/2025,15/12/2025,1,T111,Kiên,Referral,P0,Not Started,0%,W3
T116,Implement DeleteCode method,15/12/2025,15/12/2025,1,T111,Kiên,Referral,P0,Not Started,0%,W3
T117,Tạo CreateReferralCodeDto.cs,14/12/2025,14/12/2025,1,T111,Kiên,Referral,P0,Not Started,0%,W3
T118,Tạo ReferralCodeDto.cs,14/12/2025,14/12/2025,1,T111,Kiên,Referral,P0,Not Started,0%,W3
T119,Validate code uniqueness,14/12/2025,14/12/2025,1,T112,Kiên,Referral,P0,Not Started,0%,W3
T120,Check expiry date,14/12/2025,14/12/2025,1,T095,Kiên,Referral,P0,Not Started,0%,W3
T121,Check usage limits,14/12/2025,14/12/2025,1,T095,Kiên,Referral,P0,Not Started,0%,W3
T122,Create referral code form,14/12/2025,14/12/2025,1,T079,Cường,Referral,P0,Not Started,0%,W3
T123,Referral code list table,14/12/2025,15/12/2025,2,T122,Cường,Referral,P0,Not Started,0%,W3
T124,Code statistics display,15/12/2025,15/12/2025,1,T123,Cường,Referral,P0,Not Started,0%,W3
T125,Toggle active/inactive button,15/12/2025,15/12/2025,1,T123,Cường,Referral,P0,Not Started,0%,W3
T126,Edit code functionality,15/12/2025,15/12/2025,1,T123,Cường,Referral,P0,Not Started,0%,W3
T127,Delete confirmation dialog,15/12/2025,15/12/2025,1,T123,Cường,Referral,P0,Not Started,0%,W3
T128,Copy code to clipboard button,15/12/2025,15/12/2025,1,T123,Cường,Referral,P0,Not Started,0%,W3
T129,Tạo CommissionService.cs,16/12/2025,16/12/2025,1,T048,Kiên,Commission,P0,Not Started,0%,W3
T130,Implement GetPartnerDashboard,16/12/2025,16/12/2025,1,T129,Kiên,Commission,P0,Not Started,0%,W3
T131,Implement GetCommissionHistory,16/12/2025,17/12/2025,2,T129,Kiên,Commission,P0,Not Started,0%,W3
T132,Implement GetCommissionSummary,17/12/2025,17/12/2025,1,T129,Kiên,Commission,P0,Not Started,0%,W3
T133,Calculate total commission,16/12/2025,16/12/2025,1,T130,Kiên,Commission,P0,Not Started,0%,W3
T134,Calculate this month commission,16/12/2025,16/12/2025,1,T130,Kiên,Commission,P0,Not Started,0%,W3
T135,Count total students referred,16/12/2025,16/12/2025,1,T130,Kiên,Commission,P0,Not Started,0%,W3
T136,Count active students (30 days),16/12/2025,16/12/2025,1,T130,Kiên,Commission,P0,Not Started,0%,W3
T137,Tạo PartnerDashboardDto.cs,16/12/2025,16/12/2025,1,T129,Kiên,Commission,P0,Not Started,0%,W3
T138,Tạo CommissionTransactionDto.cs,16/12/2025,16/12/2025,1,T129,Kiên,Commission,P0,Not Started,0%,W3
T139,Support date range filtering,17/12/2025,17/12/2025,1,T131,Kiên,Commission,P0,Not Started,0%,W3
T140,Partner dashboard với KPI cards,16/12/2025,16/12/2025,1,T079,Cường,Commission,P0,Not Started,0%,W3
T141,Total commission display,16/12/2025,16/12/2025,1,T140,Cường,Commission,P0,Not Started,0%,W3
T142,This month commission display,16/12/2025,16/12/2025,1,T140,Cường,Commission,P0,Not Started,0%,W3
T143,Students count display,16/12/2025,16/12/2025,1,T140,Cường,Commission,P0,Not Started,0%,W3
T144,Commission history table,16/12/2025,17/12/2025,2,T140,Cường,Commission,P0,Not Started,0%,W3
T145,Date range filter component,17/12/2025,17/12/2025,1,T144,Cường,Commission,P0,Not Started,0%,W3
T146,Charts (commission over time),17/12/2025,17/12/2025,1,T144,Cường,Commission,P1,Not Started,0%,W3
T147,Export commission report button,17/12/2025,17/12/2025,1,T144,Cường,Commission,P1,Not Started,0%,W3
T148,Tạo CourseService.cs,18/12/2025,18/12/2025,1,T048,Kiên,Content,P0,Not Started,0%,W4
T149,Implement CreateCourse method,18/12/2025,18/12/2025,1,T148,Kiên,Content,P0,Not Started,0%,W4
T150,Implement GetCourses method,18/12/2025,19/12/2025,2,T148,Kiên,Content,P0,Not Started,0%,W4
T151,Implement GetCourseById method,19/12/2025,19/12/2025,1,T148,Kiên,Content,P0,Not Started,0%,W4
T152,Implement UpdateCourse method,19/12/2025,19/12/2025,1,T148,Kiên,Content,P0,Not Started,0%,W4
T153,Implement PublishCourse method,19/12/2025,20/12/2025,2,T148,Kiên,Content,P0,Not Started,0%,W4
T154,Implement GenerateSlug method,19/12/2025,19/12/2025,1,T149,Kiên,Content,P0,Not Started,0%,W4
T155,Tạo CreateCourseDto.cs,18/12/2025,18/12/2025,1,T148,Kiên,Content,P0,Not Started,0%,W4
T156,Tạo CourseDto.cs,18/12/2025,18/12/2025,1,T148,Kiên,Content,P0,Not Started,0%,W4
T157,Tạo UpdateCourseDto.cs,18/12/2025,18/12/2025,1,T148,Kiên,Content,P0,Not Started,0%,W4
T158,Permission checking CONTENT_CREATE,18/12/2025,18/12/2025,1,T149,Kiên,Content,P0,Not Started,0%,W4
T159,Support free/premium course types,20/12/2025,20/12/2025,1,T149,Kiên,Content,P0,Not Started,0%,W4
T160,Course creation form,18/12/2025,19/12/2025,2,T017,Cường,Content,P0,Not Started,0%,W4
T161,Course list view grid layout,19/12/2025,19/12/2025,1,T160,Cường,Content,P0,Not Started,0%,W4
T162,Course list view list layout,19/12/2025,19/12/2025,1,T160,Cường,Content,P0,Not Started,0%,W4
T163,Course detail page,19/12/2025,20/12/2025,2,T160,Cường,Content,P0,Not Started,0%,W4
T164,Student course catalog,20/12/2025,20/12/2025,1,T163,Cường,Content,P0,Not Started,0%,W4
T165,Course filter (type/level/category),20/12/2025,20/12/2025,1,T164,Cường,Content,P0,Not Started,0%,W4
T166,Course search functionality,20/12/2025,20/12/2025,1,T164,Cường,Content,P0,Not Started,0%,W4
T167,Course thumbnail upload,20/12/2025,20/12/2025,1,T160,Cường,Content,P0,Not Started,0%,W4
T168,Tạo ExamService.cs,21/12/2025,21/12/2025,1,T048,Kiên,Exam,P0,Not Started,0%,W4
T169,Implement CreateExam method,21/12/2025,21/12/2025,1,T168,Kiên,Exam,P0,Not Started,0%,W4
T170,Implement GetExams method,21/12/2025,21/12/2025,1,T168,Kiên,Exam,P0,Not Started,0%,W4
T171,Implement PurchaseExam method,21/12/2025,22/12/2025,2,T168,Kiên,Exam,P0,Not Started,0%,W4
T172,Implement GetPurchasedExams,22/12/2025,22/12/2025,1,T168,Kiên,Exam,P0,Not Started,0%,W4
T173,Calculate price với referral code,21/12/2025,22/12/2025,2,T171,Kiên,Exam,P0,Not Started,0%,W4
T174,Integrate với CoinService.UseCoins,22/12/2025,22/12/2025,1,"T094,T171",Kiên,Exam,P0,Not Started,0%,W4
T175,Create ExamSubmission record,22/12/2025,22/12/2025,1,T171,Kiên,Exam,P0,Not Started,0%,W4
T176,Calculate commission cho partner,22/12/2025,22/12/2025,1,"T096,T171",Kiên,Exam,P0,Not Started,0%,W4
T177,Update referral code usage count,22/12/2025,22/12/2025,1,T171,Kiên,Exam,P0,Not Started,0%,W4
T178,Tạo PurchaseExamDto.cs,21/12/2025,21/12/2025,1,T168,Kiên,Exam,P0,Not Started,0%,W4
T179,Tạo ExamDto.cs,21/12/2025,21/12/2025,1,T168,Kiên,Exam,P0,Not Started,0%,W4
T180,Prevent duplicate purchase,22/12/2025,22/12/2025,1,T171,Kiên,Exam,P0,Not Started,0%,W4
T181,Exam list view,21/12/2025,21/12/2025,1,T017,Cường,Exam,P0,Not Started,0%,W4
T182,Exam detail page,21/12/2025,22/12/2025,2,T181,Cường,Exam,P0,Not Started,0%,W4
T183,Exam purchase flow,22/12/2025,22/12/2025,1,T182,Cường,Exam,P0,Not Started,0%,W4
T184,Referral code input during purchase,22/12/2025,22/12/2025,1,T183,Cường,Exam,P0,Not Started,0%,W4
T185,Price calculation display,22/12/2025,22/12/2025,1,T183,Cường,Exam,P0,Not Started,0%,W4
T186,Purchase confirmation dialog,22/12/2025,22/12/2025,1,T183,Cường,Exam,P0,Not Started,0%,W4
T187,My exams page (purchased),22/12/2025,22/12/2025,1,T183,Cường,Exam,P0,Not Started,0%,W4
T188,Exam attempt button,22/12/2025,22/12/2025,1,T187,Cường,Exam,P0,Not Started,0%,W4
T189,Test Register→Login→Purchase Coin,23/12/2025,23/12/2025,1,T092,All,Testing,P0,Not Started,0%,W4
T190,Test Purchase Coin→Buy Exam flow,23/12/2025,23/12/2025,1,T171,All,Testing,P0,Not Started,0%,W4
T191,Test referral code coin purchase,23/12/2025,23/12/2025,1,"T092,T095",All,Testing,P0,Not Started,0%,W4
T192,Test commission calculation coin,23/12/2025,23/12/2025,1,T096,All,Testing,P0,Not Started,0%,W4
T193,Test referral code exam purchase,23/12/2025,24/12/2025,2,"T171,T173",All,Testing,P0,Not Started,0%,W4
T194,Test commission calculation exam,24/12/2025,24/12/2025,1,T176,All,Testing,P0,Not Started,0%,W4
T195,Test partner dashboard updates,24/12/2025,24/12/2025,1,T130,All,Testing,P0,Not Started,0%,W4
T196,Test coin balance updates,24/12/2025,24/12/2025,1,"T101,T102",All,Testing,P0,Not Started,0%,W4
T197,Test permission system,24/12/2025,24/12/2025,1,T158,All,Testing,P0,Not Started,0%,W4
T198,Test error handling,24/12/2025,24/12/2025,1,-,All,Testing,P0,Not Started,0%,W4
T199,Performance testing (response time),24/12/2025,24/12/2025,1,-,All,Testing,P0,Not Started,0%,W4
T200,Security review (SQL injection),24/12/2025,24/12/2025,1,-,All,Testing,P0,Not Started,0%,W4
T201,Fix critical bugs,24/12/2025,24/12/2025,1,"T189,T190,T191,T192,T193,T194,T195,T196,T197,T198,T199,T200",All,Testing,P0,Not Started,0%,W4
T202,Code review session Week 3-4,24/12/2025,24/12/2025,1,T201,All,Testing,P0,Not Started,0%,W4
T203,Polish all UI components,25/12/2025,26/12/2025,2,-,Cường,UI/UX,P0,Not Started,0%,W5
T204,Add loading states all API calls,25/12/2025,26/12/2025,2,-,Cường,UI/UX,P0,Not Started,0%,W5
T205,Add error handling messages,25/12/2025,26/12/2025,2,-,Cường,UI/UX,P0,Not Started,0%,W5
T206,Responsive design fixes mobile,26/12/2025,27/12/2025,2,-,Cường,UI/UX,P0,Not Started,0%,W5
T207,Responsive design fixes tablet,26/12/2025,27/12/2025,2,-,Cường,UI/UX,P0,Not Started,0%,W5
T208,Cross-browser testing Chrome,27/12/2025,27/12/2025,1,"T203,T204,T205,T206,T207",Cường,UI/UX,P0,Not Started,0%,W5
T209,Cross-browser testing Firefox,27/12/2025,27/12/2025,1,"T203,T204,T205,T206,T207",Cường,UI/UX,P0,Not Started,0%,W5
T210,Cross-browser testing Edge,27/12/2025,27/12/2025,1,"T203,T204,T205,T206,T207",Cường,UI/UX,P0,Not Started,0%,W5
T211,Add success notifications,26/12/2025,26/12/2025,1,-,Cường,UI/UX,P0,Not Started,0%,W5
T212,Add empty states,26/12/2025,26/12/2025,1,-,Cường,UI/UX,P0,Not Started,0%,W5
T213,Add skeleton loaders,26/12/2025,27/12/2025,2,-,Cường,UI/UX,P0,Not Started,0%,W5
T214,Improve form validation messages,27/12/2025,27/12/2025,1,-,Cường,UI/UX,P0,Not Started,0%,W5
T215,Add tooltips và help text,27/12/2025,27/12/2025,1,-,Cường,UI/UX,P0,Not Started,0%,W5
T216,API documentation (Swagger),25/12/2025,26/12/2025,2,-,Kiên,Backend,P0,Not Started,0%,W5
T217,Error handling improvements,25/12/2025,26/12/2025,2,-,Kiên,Backend,P0,Not Started,0%,W5
T218,Logging enhancements structured,26/12/2025,26/12/2025,1,-,Kiên,Backend,P0,Not Started,0%,W5
T219,Performance optimization queries,26/12/2025,27/12/2025,2,-,Kiên,Backend,P0,Not Started,0%,W5
T220,Add API rate limiting,27/12/2025,27/12/2025,1,-,Kiên,Backend,P0,Not Started,0%,W5
T221,Security headers configuration,27/12/2025,27/12/2025,1,-,Kiên,Backend,P0,Not Started,0%,W5
T222,CORS configuration,27/12/2025,27/12/2025,1,-,Kiên,Backend,P0,Not Started,0%,W5
T223,Health check endpoint,27/12/2025,27/12/2025,1,-,Kiên,Backend,P0,Not Started,0%,W5
T224,Version endpoint,27/12/2025,27/12/2025,1,-,Kiên,Backend,P0,Not Started,0%,W5
T225,Architecture review,25/12/2025,26/12/2025,2,-,Phong,Review,P0,Not Started,0%,W5
T226,Security audit,26/12/2025,26/12/2025,1,-,Phong,Review,P0,Not Started,0%,W5
T227,Performance review,26/12/2025,27/12/2025,2,-,Phong,Review,P0,Not Started,0%,W5
T228,Code quality review,27/12/2025,27/12/2025,1,-,Phong,Review,P0,Not Started,0%,W5
T229,Documentation review,27/12/2025,27/12/2025,1,-,Phong,Review,P0,Not Started,0%,W5
T230,Prepare demo environment,28/12/2025,28/12/2025,1,T201,All,Demo,P0,Not Started,0%,W5
T231,Seed demo data users,28/12/2025,28/12/2025,1,T230,All,Demo,P0,Not Started,0%,W5
T232,Seed demo data courses,28/12/2025,28/12/2025,1,T230,All,Demo,P0,Not Started,0%,W5
T233,Seed demo data exams,28/12/2025,28/12/2025,1,T230,All,Demo,P0,Not Started,0%,W5
T234,Create demo account Student,28/12/2025,28/12/2025,1,T231,All,Demo,P0,Not Started,0%,W5
T235,Create demo account Teacher,28/12/2025,28/12/2025,1,T231,All,Demo,P0,Not Started,0%,W5
T236,Create demo account Admin,28/12/2025,28/12/2025,1,T231,All,Demo,P0,Not Started,0%,W5
T237,Create demo account Partner,28/12/2025,28/12/2025,1,T231,All,Demo,P0,Not Started,0%,W5
T238,Create sample referral codes,28/12/2025,28/12/2025,1,T112,All,Demo,P0,Not Started,0%,W5
T239,Prepare demo script document,28/12/2025,28/12/2025,1,T230,All,Demo,P0,Not Started,0%,W5
T240,Test demo flow end-to-end (1),28/12/2025,28/12/2025,1,T239,All,Demo,P0,Not Started,0%,W5
T241,Test demo flow end-to-end (2),28/12/2025,28/12/2025,1,T240,All,Demo,P0,Not Started,0%,W5
T242,Test demo flow end-to-end (3),28/12/2025,28/12/2025,1,T241,All,Demo,P0,Not Started,0%,W5
T243,Deploy to demo environment,28/12/2025,28/12/2025,1,T242,All,Demo,P0,Not Started,0%,W5
T244,Smoke testing on demo server,28/12/2025,28/12/2025,1,T243,All,Demo,P0,Not Started,0%,W5
T245,Prepare presentation slides,28/12/2025,28/12/2025,1,T239,Nguyên,Demo,P0,Not Started,0%,W5
T246,Record backup demo video,28/12/2025,28/12/2025,1,T242,All,Demo,P1,Not Started,0%,W5
T247,DEMO DAY - Final check 8AM,29/12/2025,29/12/2025,1,T244,All,Demo,P0,Not Started,0%,W5
